iso3c,short_name_en,regex
ABW,Aruba,阿鲁巴
AFG,Afghanistan,阿富汗
AGO,Angola,安哥拉
AIA,Anguilla,安(圭|吉)拉
ALA,Åland Islands,奥兰|阿赫韦南马
ALB,Albania,阿尔巴尼亚
AND,Andorra,安道尔
ARE,United Arab Emirates,阿联|阿拉伯联合
ARG,Argentina,阿根廷
ARM,Armenia,亚美尼亚
ASM,American Samoa,(美属?|东)萨摩亚
ATA,Antarctica,南极洲
ATF,French Southern Territories,法属南部(和南极)?领地
ATG,Antigua & Barbuda,安(地卡|提瓜)[和及与]?巴布达|安巴
AUS,Australia,澳(大利亚|洲)
AUT,Austria,奥地利
AZE,Azerbaijan,(亚|阿)塞拜(然|疆)
BDI,Burundi,蒲隆地|布隆迪
BEL,Belgium,比利时
BEN,Benin,贝(南|宁)|达荷美
BES,Caribbean Netherlands,BES群岛|荷(兰|属)加勒比
BFA,Burkina Faso,布(吉|基)纳法索
BGD,Bangladesh,孟加拉
BGR,Bulgaria,保加利亚
BHR,Bahrain,巴林
BHS,Bahamas,巴哈马
BIH,Bosnia & Herzegovina,波(黑|赫)|波(士|斯)尼亚
BLM,St. Barthélemy,圣巴(泰|特|瑟)
BLR,Belarus,白俄
BLZ,Belize,贝里斯|伯利兹
BMU,Bermuda,百慕(大|达)
BOL,Bolivia,玻利维亚
BRA,Brazil,巴西
BRB,Barbados,巴(贝|巴)多
BRN,Brunei,(汶|文)莱
BTN,Bhutan,不丹
BVT,Bouvet Island,(布|鲍)(韦|威)特?岛
BWA,Botswana,波札那|博茨瓦纳
CAF,Central African Republic,中非
CAN,Canada,加拿大
CCK,Cocos (Keeling) Islands,科科斯（基林）群岛
CHE,Switzerland,瑞士
CHL,Chile,智利
CHN,China,中国(?!台湾)|中华人民共和国
CIV,Côte d’Ivoire,象牙海岸|科特迪瓦
CMR,Cameroon,喀麦隆
COD,Congo - Kinshasa,刚果民主共和国|民主刚果|金(沙萨|夏沙).*刚果|刚果.*金(沙萨|夏沙)|刚果.金
COG,Congo - Brazzaville,刚果共和国|布拉(萨|柴维尔).*刚果|刚果.*布拉(萨|柴维尔)|刚果.布
COK,Cook Islands,库克群岛
COL,Colombia,哥伦比亚
COM,Comoros,(葛|科)摩
CPV,Cape Verde,(维德|佛得)角
CRI,Costa Rica,哥斯(大|达)黎加
CUB,Cuba,古巴
CUW,Curaçao,(库|古)拉索
CXR,Christmas Island,圣诞岛
CYM,Cayman Islands,(开|盖|凯)(曼|门)群岛
CYP,Cyprus,(?<!北)(赛|塞)(普勒|浦路)斯
CZE,Czechia,捷克(?!斯洛伐克)
DEU,Germany,德国|德意志联邦共和国
DJI,Djibouti,吉布(地|提)
DMA,Dominica,多米尼克
DNK,Denmark,丹麦
DOM,Dominican Republic,多(明|米)尼加
DZA,Algeria,阿尔及利亚
ECU,Ecuador,厄瓜多
EGY,Egypt,埃及
ERI,Eritrea,厄(利垂|立特里)亚
ESH,Western Sahara,西撒哈拉|撒哈?拉.*民主共和国
ESP,Spain,西班牙|(日斯|以西)(巴|把)(尼|你)亚
EST,Estonia,爱沙尼亚
ETH,Ethiopia,衣索比亚|埃塞|(衣|埃)国
FIN,Finland,芬兰
FJI,Fiji,斐济
FLK,Falkland Islands,(福克兰|马尔维纳斯)群岛
FRA,France,法国|法兰西共和国
FRO,Faroe Islands,法罗群岛
FSM,Micronesia (Federated States of),密克罗尼西亚|密联邦
GAB,Gabon,加(彭|蓬)
GBR,United Kingdom,英国|联合王国|不列颠
GEO,Georgia,(?<!南)乔治亚|格鲁吉亚
GGY,Guernsey,根西
GHA,Ghana,(加|迦)纳
GIB,Gibraltar,直布罗陀
GIN,Guinea,(?<!(赤道?|巴布亚.))(几|畿)内亚(?!比(索|绍))
GLP,Guadeloupe,瓜(德|达|地)(罗|洛)普
GMB,Gambia,(甘|冈)比亚
GNB,Guinea-Bissau,(几|畿)内亚比(索|绍)
GNQ,Equatorial Guinea,赤(几|畿)|赤道(几|畿)内亚
GRC,Greece,希腊
GRD,Grenada,格(瑞那|林纳)达
GRL,Greenland,格陵兰
GTM,Guatemala,(瓜|危)地马拉
GUF,French Guiana,法属圭亚那
GUM,Guam,关岛
GUY,Guyana,(?<!法属)(盖|圭)亚那
HKG,Hong Kong SAR China,香港
HMD,Heard & McDonald Islands,赫德岛和麦克唐纳群岛
HND,Honduras,(宏|洪)都拉斯
HRV,Croatia,克罗(埃|地)西?亚
HTI,Haiti,海地
HUN,Hungary,匈牙利
IDN,Indonesia,印尼|印度尼西亚
IMN,Isle of Man,曼恩|(马恩|萌|曼)岛
IND,India,印度(?!洋|尼西亚)
IOT,British Indian Ocean Territory,英属印度洋领地
IRL,Ireland,(?<!北)爱尔兰
IRN,Iran,伊朗
IRQ,Iraq,伊拉克
ISL,Iceland,冰岛
ISR,Israel,以色列
ITA,Italy,(义|意)大利
JAM,Jamaica,牙买加
JEY,Jersey,泽尔?西|哲尔赛
JOR,Jordan,约旦
JPN,Japan,日本
KAZ,Kazakhstan,哈萨克
KEN,Kenya,肯(亚|雅)|肯尼亚
KGZ,Kyrgyzstan,吉尔吉斯
KHM,Cambodia,柬埔寨
KIR,Kiribati,(吉|基)里巴斯
KNA,St. Kitts & Nevis,(?<!多米尼)克国|圣尼|圣克里斯(多福|托弗)[和及与]?尼维斯|圣基茨[和及与]?尼维斯|圣吉斯纳域斯
KOR,South Korea,大韩民国|韩国|南韩
KWT,Kuwait,科威特
LAO,Laos,老挝|寮国|寮人民民主共和国
LBN,Lebanon,黎巴嫩
LBR,Liberia,(赖比瑞|利比里)亚
LBY,Libya,利比亚
LCA,St. Lucia,圣(露|卢)西亚
LIE,Liechtenstein,列支敦(斯|士)登
LKA,Sri Lanka,斯里兰卡|锡兰
LSO,Lesotho,(赖|莱)索托
LTU,Lithuania,立陶宛
LUX,Luxembourg,卢森堡
LVA,Latvia,拉脱维亚
MAC,Macao SAR China,澳门
MAF,Saint Martin (French part),法属圣马丁
MAR,Morocco,摩洛哥
MCO,Monaco,摩纳哥
MDA,Moldova,摩尔多瓦
MDG,Madagascar,马(达加斯加|拉加西|尔加什)
MDV,Maldives,马尔(代|地)夫
MEX,Mexico,墨西哥
MHL,Marshall Islands,马绍尔
MKD,North Macedonia,马其顿
MLI,Mali,(?<!(圣|索|北))马(利|里)
MLT,Malta,马(尔|耳)他
MMR,Myanmar (Burma),缅甸
MNE,Montenegro,黑山|蒙特内哥罗
MNG,Mongolia,蒙古
MNP,Northern Mariana Islands,北马(里亚|利安)纳群岛
MOZ,Mozambique,莫(三|桑)比克
