iso3c,short_name_en,regex
NA,Abkhazia,阿(布哈|柏克)兹
AFG,Afghanistan,阿富汗
ALB,Albania,阿尔巴尼亚
DZA,Algeria,阿尔及利亚
AND,Andorra,安道尔
AGO,Angola,安哥拉
ATG,Antigua and Barbuda,"安(地卡|提瓜).{0,2}巴布达|安巴"
ARG,Argentina,阿根廷
ARM,Armenia,亚美尼亚
NA,Artsakh,阿尔察赫
AUS,Australia,澳(大利亚|洲)
AUT,Austria,奥地利
AZE,Azerbaijan,(亚|阿)塞拜(然|疆)
BHS,Bahamas,巴哈马
BHR,Bahrain,巴林
BGD,Bangladesh,孟加拉
BRB,Barbados,巴(贝|巴)多
BLR,Belarus,白俄
BEL,Belgium,比利时
BLZ,Belize,贝里斯|伯利兹
BEN,Benin,贝(南|宁)|达荷美
BTN,Bhutan,不丹
BOL,Bolivia,玻利维亚
BIH,Bosnia and Herzegovina,波(黑|赫)|波(士|斯)尼亚
BWA,Botswana,波札那|博茨瓦纳
BRA,Brazil,巴西
BRN,Brunei,(汶|文)莱
BGR,Bulgaria,保加利亚
BFA,Burkina Faso,布(吉|基)纳法索
BDI,Burundi,蒲隆地|布隆迪
KHM,Cambodia,柬埔寨
CMR,Cameroon,喀麦隆
CAN,Canada,加拿大
CPV,Cabo Verde,(维德|佛得)角
CAF,Central African Republic,中非
TCD,Chad,查德|乍得
CHL,Chile,智利
CHN,China,中国|中华人民共和国
COL,Colombia,哥伦比亚
COM,Comoros,(葛|科)摩
COG,Congo (Brazzaville),刚果共和国|布拉(萨|柴维尔).*刚果|刚果.*布拉(萨|柴维尔)|刚果.布
COD,Congo (Kinshasa),刚果民主共和国|民主刚果|金(沙萨|夏沙).*刚果|刚果.*金(沙萨|夏沙)|刚果.金
COK,Cook Islands,库克群岛
CRI,Costa Rica,哥斯(大|达)黎加
CIV,Côte d'Ivoire,象牙海岸|科特迪瓦
HRV,Croatia,克罗(埃|地)西?亚
CUB,Cuba,古巴
CYP,Cyprus,(?<!北)(赛|塞)(普勒|浦路)斯
CZE,Czechia,捷克
DNK,Denmark,丹麦
DJI,Djibouti,吉布(地|提)
DMA,Dominica,多米尼克
DOM,Dominican Republic,多(明|米)尼加
NA,Donetsk,顿(内次|涅茨)克
ECU,Ecuador,厄瓜多
EGY,Egypt,埃及
SLV,El Salvador,萨尔瓦多
GNQ,Equatorial Guinea,赤(几|畿)|赤道(几|畿)内亚
ERI,Eritrea,厄(利垂|立特里)亚
EST,Estonia,爱沙尼亚
SWZ,Eswatini,史瓦帝尼|斯威士兰
ETH,Ethiopia,衣索比亚|埃塞|(衣|埃)国
FJI,Fiji,斐济
FIN,Finland,芬兰
FRA,France,法国|法兰西共和国
GAB,Gabon,加(彭|蓬)
GMB,Gambia,(甘|冈)比亚
GEO,Georgia,乔治亚|格鲁吉亚
DEU,Germany,德国|德意志联邦共和国
GHA,Ghana,(加|迦)纳
GRC,Greece,希腊
GRD,Grenada,格(瑞那|林纳)达
GTM,Guatemala,(瓜|危)地马拉
GIN,Guinea,(?<!(赤道?|巴布亚.))(几|畿)内亚(?!比(索|绍))
GNB,Guinea-Bissau,(几|畿)内亚比(索|绍)
GUY,Guyana,(盖|圭)亚那
HTI,Haiti,海地
HND,Honduras,(宏|洪)都拉斯
HUN,Hungary,匈牙利
